"","cell_name"
"1","I_GP_4"
"2","I_GP_6"
"3","N_GP_16"
"4","N_GP_30"
"5","N5"
"6","N18"
"7","N_GP_6B"
"8","N_GP_5"
"9","N_GP_53"
"10","N29"
"11","I_GP_16"
"12","N_GP_42"
"13","N_GP_35S"
"14","I_GP_13"
"15","N_GP_18B"
"16","I_GP_21"
"17","I46"
"18","N7"
"19","I40"
"20","I47"
"21","N24"
"22","N_GP_15"
"23","N_GP_29B"
"24","I_GP_18"
"25","I_GP_10"
"26","N37"
"27","I_GP_12"
"28","N_GP_12B"
"29","N_GP_8B"
"30","I_GP_5"
"31","I_GP_19"
"32","N_GP_32"
"33","N1"
"34","I38"
"35","N2"
"36","I_GP_23"
"37","I_GP_9"
"38","N_GP_10B"
"39","N_GP_13B"
"40","N_GP_26B"
"41","N_GP_18"
"42","N17"
"43","I30"
"44","I9"
"45","N_GP_1"
"46","N42"
"47","N_GP_1B"
"48","N27"
"49","I3"
"50","N34"
"51","I33"
"52","I27"
"53","I7"
"54","I_GP_14"
"55","I_GP_15"
"56","N_GP_14B"
"57","N_GP_32B"
"58","I_GP_17"
"59","N_GP_11"
"60","N_GP_45"
"61","I_GP_11"
"62","N_GP_38S"
"63","N_GP_25"
"64","N_GP_7B"
"65","N_GP_3B"
"66","N_GP_46"
"67","N_GP_50"
"68","N_GP_12"
"69","N_GP_7"
"70","N11"
"71","N_GP_16B"
"72","N_GP_28"
"73","N_GP_2"
"74","I_GP_20"
"75","N_GP_9"
"76","N_GP_40S"
"77","I41"
"78","N_GP_6"
"79","I_GP_8"
"80","N45"
"81","N_GP_31B"
"82","N46"
"83","I23"
"84","N33"
"85","N_GP_19B"
"86","N25"
"87","I_GP_24"
"88","N_GP_15B"
"89","N26"
"90","N_GP_5B"
"91","N28"
"92","N_GP_23B"
"93","N_GP_31"
"94","N_GP_24"
"95","N_GP_27B"
"96","N_GP_33S"
"97","N35"
"98","N_GP_43"
"99","N_GP_48"
"100","N_GP_2B"
"101","N_GP_44"
"102","N_GP_47"
"103","N_GP_14"
"104","N_GP_34S"
"105","N_GP_51"
"106","N_GP_39S"
"107","N_GP_30B"
"108","N_GP_17B"
"109","N_GP_13"
"110","N_GP_21B"
"111","N_GP_19"
"112","I_GP_7"
"113","N_GP_3"
"114","N_GP_11B"
"115","N_GP_27"
"116","N_GP_55"
"117","N_GP_22"
"118","N_GP_4B"
"119","N_GP_22B"
"120","N_GP_23"
"121","N_GP_20B"
"122","N_GP_28B"
"123","N48"
"124","N_GP_20"
