"","cell","type"
"1","N_GP_17B","qNSC1"
"2","N_GP_3","qNSC1"
"3","N_GP_19","qNSC1"
"4","N_GP_13","qNSC1"
"5","N_GP_11","qNSC1"
"6","N_GP_21B","qNSC1"
"7","N_GP_47","qNSC1"
"8","N_GP_51","qNSC1"
"9","N_GP_14","qNSC1"
"10","N_GP_11B","qNSC1"
"11","N25","qNSC1"
"12","N_GP_44","qNSC1"
"13","N_GP_33S","qNSC1"
"14","N35","qNSC1"
"15","N48","qNSC1"
"16","N_GP_55","qNSC1"
"17","N_GP_39S","qNSC1"
"18","N_GP_4B","qNSC1"
"19","N_GP_27","qNSC1"
"20","N_GP_2B","qNSC1"
"21","N_GP_34S","qNSC1"
"22","N_GP_28B","qNSC1"
"23","N_GP_22B","qNSC1"
"24","N_GP_23","qNSC1"
"25","N_GP_22","qNSC1"
"26","N_GP_30B","qNSC1"
"27","N_GP_43","qNSC1"
"28","N_GP_48","qNSC1"
"29","N_GP_20B","qNSC1"
"30","N_GP_27B","qNSC1"
"31","N_GP_31","qNSC1"
"32","N26","qNSC1"
"33","N28","qNSC1"
"34","N_GP_24","qNSC1"
"35","N_GP_23B","qNSC1"
"36","N_GP_15B","qNSC1"
"37","N_GP_5B","qNSC1"
"38","N33","qNSC2"
"39","N_GP_20","qNSC2"
"40","N46","qNSC2"
"41","N_GP_46","qNSC2"
"42","N_GP_16B","qNSC2"
"43","N_GP_28","qNSC2"
"44","N_GP_50","qNSC2"
"45","N_GP_7B","qNSC2"
"46","N_GP_9","qNSC2"
"47","N_GP_7","qNSC2"
"48","N_GP_45","qNSC2"
"49","N_GP_38S","qNSC2"
"50","N_GP_25","qNSC2"
"51","N_GP_14B","qNSC2"
"52","N_GP_2","qNSC2"
"53","N_GP_6","qNSC2"
"54","N45","qNSC2"
"55","N_GP_31B","qNSC2"
"56","N11","qNSC2"
"57","N_GP_40S","qNSC2"
"58","N_GP_19B","qNSC2"
"59","N_GP_12","qNSC2"
"60","N_GP_3B","qNSC2"
"61","N5","aNSC1"
"62","N_GP_6B","aNSC1"
"63","N18","aNSC1"
"64","N_GP_53","aNSC1"
"65","N_GP_5","aNSC1"
"66","N_GP_16","aNSC1"
"67","N_GP_30","aNSC1"
"68","N_GP_42","aNSC1"
"69","N7","aNSC1"
"70","N29","aNSC1"
"71","N_GP_18B","aNSC1"
"72","N24","aNSC1"
"73","N_GP_32B","aNSC1"
"74","N_GP_15","aNSC1"
"75","N_GP_29B","aNSC1"
"76","N_GP_12B","aNSC2"
"77","N_GP_8B","aNSC2"
"78","N_GP_32","aNSC2"
"79","N2","aNSC2"
"80","N37","aNSC2"
"81","N_GP_18","aNSC2"
"82","N_GP_35S","aNSC2"
"83","N17","aNSC2"
"84","N27","aNSC2"
"85","N34","aNSC2"
"86","N42","aNSC2"
"87","N_GP_1","aNSC2"
"88","N_GP_1B","aNSC2"
"89","N_GP_10B","aNSC2"
"90","N_GP_13B","aNSC2"
"91","N_GP_26B","aNSC2"
"92","N1","aNSC2"
"93","N_PSA_16","NB"
"94","N_PSA_15","NB"
"95","N_PSA_29","NB"
"96","N_PSA_23","NB"
"97","N_PSA_24","NB"
"98","N_PSA_13","NB"
"99","N_PSA_19","NB"
"100","N_PSA_26","NB"
"101","N_PSA_27","NB"
"102","N_PSA_20","NB"
"103","N_PSA_3","NB"
"104","N_PSA_8","NB"
"105","N_PSA_11","NB"
"106","N_PSA_4","NB"
"107","N_PSA_17","NB"
"108","N_PSA_6","NB"
"109","N_PSA_14","NB"
"110","N_PSA_21","NB"
"111","N_PSA_30","NB"
"112","N_PSA_28","NB"
"113","N_PSA_18","NB"
"114","N_PSA_31","NB"
"115","N_PSA_25","NB"
"116","N_PSA_32","NB"
"117","N_PSA_7","NB"
"118","N_GP_17","Olig"
"119","N38","Olig"
"120","N9","Olig"
"121","N36","Olig"
"122","N3","Olig"
"123","N13","Olig"
"124","N6","Olig"
"125","N4","Olig"
"126","N23","Olig"
"127","N31","Olig"
"128","N22","Olig"
"129","N30","Olig"
"130","wt_60","qNSC_Injured"
"131","wt_54","qNSC_Injured"
"132","I7","qNSC_Injured"
"133","I27","qNSC_Injured"
"134","I33","qNSC_Injured"
"135","I23","qNSC_Injured"
"136","I_GP_14","qNSC_Injured"
"137","I_GP_15","qNSC_Injured"
"138","wt_52","qNSC_Injured"
"139","I_GP_11","qNSC_Injured"
"140","I_GP_20","qNSC_Injured"
"141","wt_53","qNSC_Injured"
"142","I_GP_8","qNSC_Injured"
"143","I41","qNSC_Injured"
"144","I_GP_7","qNSC_Injured"
"145","I_GP_17","qNSC_Injured"
"146","wt_57","qNSC_Injured"
"147","I_GP_24","qNSC_Injured"
"148","wt_51","qNSC_Injured"
"149","I_GP_3","qNSC_Injured"
"150","ik_33","qNSC_Injured_knockout"
"151","ik_23","qNSC_Injured_knockout"
"152","ik_34","qNSC_Injured_knockout"
"153","ik_44","qNSC_Injured_knockout"
"154","ik_24","qNSC_Injured_knockout"
"155","ik_27","qNSC_Injured_knockout"
"156","ik_39","qNSC_Injured_knockout"
"157","ik_13","qNSC_Injured_knockout"
"158","ik_30","qNSC_Injured_knockout"
"159","Ik3","qNSC_Injured_knockout"
"160","ik_15","qNSC_Injured_knockout"
"161","I_GP_10","aNSC_Injured"
"162","wt_49","aNSC_Injured"
"163","I_GP_12","aNSC_Injured"
"164","I_GP_5","aNSC_Injured"
"165","I_GP_19","aNSC_Injured"
"166","I_GP_23","aNSC_Injured"
"167","I38","aNSC_Injured"
"168","I_GP_9","aNSC_Injured"
"169","wt_64","aNSC_Injured"
"170","wt_62","aNSC_Injured"
"171","I30","aNSC_Injured"
"172","I9","aNSC_Injured"
"173","I3","aNSC_Injured"
"174","I_GP_13","aNSC_Injured"
"175","I_GP_4","aNSC_Injured"
"176","I_GP_6","aNSC_Injured"
"177","wt_48","aNSC_Injured"
"178","wt_59","aNSC_Injured"
"179","I_GP_16","aNSC_Injured"
"180","I46","aNSC_Injured"
"181","I47","aNSC_Injured"
"182","I_GP_21","aNSC_Injured"
"183","I40","aNSC_Injured"
"184","wt_50","aNSC_Injured"
"185","wt_58","aNSC_Injured"
"186","I_GP_18","aNSC_Injured"
"187","ik_26","aNSC_Injured_knockout"
"188","ik_36","aNSC_Injured_knockout"
"189","ik_7","aNSC_Injured_knockout"
"190","ik_10","aNSC_Injured_knockout"
"191","ik_11","aNSC_Injured_knockout"
"192","ik_17","aNSC_Injured_knockout"
"193","ik_41","aNSC_Injured_knockout"
"194","ik_14","aNSC_Injured_knockout"
"195","ik_40","aNSC_Injured_knockout"
"196","ik5","aNSC_Injured_knockout"
"197","ik_28","aNSC_Injured_knockout"
"198","ik_20","aNSC_Injured_knockout"
"199","ik_42","aNSC_Injured_knockout"
"200","ik_9","aNSC_Injured_knockout"
"201","ik_43","aNSC_Injured_knockout"
"202","ik_8","aNSC_Injured_knockout"
"203","Ik1","aNSC_Injured_knockout"
"204","ik_25","aNSC_Injured_knockout"
"205","ik_31","aNSC_Injured_knockout"
"206","ik4","aNSC_Injured_knockout"
"207","ik_19","aNSC_Injured_knockout"
"208","tap87","TAP"
"209","tap86","TAP"
"210","tap85","TAP"
"211","tap84","TAP"
"212","tap77","TAP"
"213","tap76","TAP"
"214","tap75","TAP"
"215","tap74","TAP"
"216","tap73","TAP"
"217","tap72","TAP"
"218","tap70","TAP"
"219","tap69","TAP"
"220","tap68","TAP"
"221","tap66","TAP"
"222","tap65","TAP"
"223","tap64","TAP"
"224","tap63","TAP"
"225","tap62","TAP"
"226","tap61","TAP"
"227","tap60","TAP"
"228","tap59","TAP"
"229","tap58","TAP"
"230","tap56","TAP"
"231","tap55","TAP"
"232","tap54","TAP"
"233","tap50","TAP"
"234","tap49","TAP"
"235","str42","CTX"
"236","str40","CTX"
"237","str35","CTX"
"238","str33","CTX"
"239","str27","CTX"
"240","ctx8","CTX"
"241","ctx7","CTX"
"242","ctx6","CTX"
"243","ctx5","CTX"
"244","ctx3","CTX"
"245","ctx23","CTX"
"246","ctx22","CTX"
"247","ctx21","CTX"
"248","ctx20","CTX"
"249","ctx2","CTX"
"250","ctx19","CTX"
"251","ctx18","CTX"
"252","ctx17","CTX"
"253","ctx16","CTX"
"254","ctx12","CTX"
"255","ctx11","CTX"
"256","ctx1","CTX"
"257","N1GP","1000_NSCs_Naive_and_Injured"
"258","N2GP","1000_NSCs_Naive_and_Injured"
"259","I1GP","1000_NSCs_Naive_and_Injured"
"260","I2GP","1000_NSCs_Naive_and_Injured"
