"","cell","type","age"
"1","OGStr24","Astro","old"
"2","OGStr9","Astro","old"
"3","OGStr8","Astro","old"
"4","OGStr29","Astro","old"
"5","OGStr16","Astro","old"
"6","OGStr15","Astro","old"
"7","OGStr1","Astro","old"
"8","OGStr30","Astro","old"
"9","OStr4","Astro","old"
"10","OGStr13","Astro","old"
"11","OGStr28","Astro","old"
"12","OGStr22","Astro","old"
"13","OStr21","Astro","old"
"14","OCx24","Astro","old"
"15","OCx5","Astro","old"
"16","OCx1","Astro","old"
"17","OCx19","Astro","old"
"18","s_dot_ogp111","aNSC1","old"
"19","s_dot_ogp54","aNSC1","old"
"20","s_dot_ogp63","aNSC1","old"
"21","s_dot_ogp19","aNSC1","old"
"22","s_dot_ogp68","aNSC1","old"
"23","s_dot_ogp39","aNSC1","old"
"24","s_dot_ogp2_dot_79","aNSC1","old"
"25","s_dot_ogp77","aNSC1","old"
"26","s_dot_ogp2_dot_6","aNSC1","old"
"27","s_dot_ogp32","aNSC1","old"
"28","s_dot_ogp2_dot_43","aNSC2","old"
"29","s_dot_ogp31","aNSC2","old"
"30","s_dot_ogp52","aNSC2","old"
"31","s_dot_ogp2_dot_44","aNSC2","old"
"32","s_dot_ogp81","aNSC2","old"
"33","s_dot_ogp80","aNSC2","old"
"34","s_dot_ogp73","aNSC2","old"
"35","s_dot_ogp92","aNSC2","old"
"36","s_dot_ogp74","aNSC2","old"
"37","s_dot_ogp20","aNSC2","old"
"38","s_dot_ogp2_dot_48","qNSC1","old"
"39","s_dot_ogp2_dot_34","qNSC1","old"
"40","s_dot_ogp2_dot_80","qNSC1","old"
"41","s_dot_ogp36","qNSC1","old"
"42","s_dot_ogp2_dot_29","qNSC1","old"
"43","s_dot_ogp2_dot_9","qNSC1","old"
"44","s_dot_ogp43","qNSC1","old"
"45","s_dot_ogp2_dot_30","qNSC1","old"
"46","s_dot_ogp94","qNSC1","old"
"47","s_dot_ogp35","qNSC1","old"
"48","s_dot_ogp99","qNSC1","old"
"49","s_dot_ogp2_dot_93","qNSC1","old"
"50","s_dot_ogp1","qNSC1","old"
"51","s_dot_ogp51","qNSC1","old"
"52","s_dot_ogp33","qNSC1","old"
"53","s_dot_ogp61","qNSC1","old"
"54","s_dot_ogp38","qNSC1","old"
"55","s_dot_ogp40","qNSC1","old"
"56","s_dot_ogp109","qNSC1","old"
"57","s_dot_ogp28","qNSC1","old"
"58","s_dot_ogp64","qNSC1","old"
"59","s_dot_ogp102","qNSC1","old"
"60","s_dot_ogp65","qNSC1","old"
"61","s_dot_ogp67","qNSC1","old"
"62","s_dot_ogp75","qNSC1","old"
"63","s_dot_ogp66","qNSC1","old"
"64","s_dot_ogp96","qNSC1","old"
"65","s_dot_ogp2_dot_33","qNSC1","old"
"66","s_dot_ogp2_dot_31","qNSC1","old"
"67","s_dot_ogp106","qNSC1","old"
"68","s_dot_ogp9","qNSC1","old"
"69","s_dot_ogp2_dot_21","qNSC1","old"
"70","s_dot_ogp2_dot_36","qNSC1","old"
"71","s_dot_ogp2_dot_49","qNSC1","old"
"72","s_dot_ogp2_dot_63","qNSC1","old"
"73","s_dot_ogp2_dot_25","qNSC1","old"
"74","s_dot_ogp2_dot_18","qNSC1","old"
"75","s_dot_ogp100","qNSC1","old"
"76","s_dot_ogp86","qNSC1","old"
"77","s_dot_ogp83","qNSC1","old"
"78","s_dot_ogp2_dot_37","qNSC1","old"
"79","s_dot_ogp2_dot_8","qNSC1","old"
"80","s_dot_ogp2_dot_24","qNSC1","old"
"81","s_dot_ogp25","qNSC1","old"
"82","s_dot_ogp7","qNSC1","old"
"83","s_dot_ogp53","qNSC1","old"
"84","s_dot_ogp2_dot_81","qNSC1","old"
"85","s_dot_ogp2_dot_17","qNSC1","old"
"86","s_dot_ogp69","qNSC1","old"
"87","s_dot_ogp2_dot_5","qNSC1","old"
"88","s_dot_ogp47","qNSC1","old"
"89","s_dot_ogp48","qNSC1","old"
"90","s_dot_ogp46","qNSC1","old"
"91","s_dot_ogp110","qNSC1","old"
"92","s_dot_ogp2_dot_7","qNSC1","old"
"93","s_dot_ogp2_dot_3","qNSC1","old"
"94","s_dot_ogp82","qNSC1","old"
"95","s_dot_ogp2_dot_66","qNSC1","old"
