"","cell","type","age"
"1","N_GP_17B","qNSC1","young"
"2","N_GP_3","qNSC1","young"
"3","N_GP_19","qNSC1","young"
"4","N_GP_13","qNSC1","young"
"5","N_GP_11","qNSC1","young"
"6","N_GP_21B","qNSC1","young"
"7","N_GP_47","qNSC1","young"
"8","N_GP_51","qNSC1","young"
"9","N_GP_14","qNSC1","young"
"10","N_GP_11B","qNSC1","young"
"11","N25","qNSC1","young"
"12","N_GP_44","qNSC1","young"
"13","N_GP_33S","qNSC1","young"
"14","N35","qNSC1","young"
"15","N48","qNSC1","young"
"16","N_GP_55","qNSC1","young"
"17","N_GP_39S","qNSC1","young"
"18","N_GP_4B","qNSC1","young"
"19","N_GP_27","qNSC1","young"
"20","N_GP_2B","qNSC1","young"
"21","N_GP_34S","qNSC1","young"
"22","N_GP_28B","qNSC1","young"
"23","N_GP_22B","qNSC1","young"
"24","N_GP_23","qNSC1","young"
"25","N_GP_22","qNSC1","young"
"26","N_GP_30B","qNSC1","young"
"27","N_GP_43","qNSC1","young"
"28","N_GP_48","qNSC1","young"
"29","N_GP_20B","qNSC1","young"
"30","N_GP_27B","qNSC1","young"
"31","N_GP_31","qNSC1","young"
"32","N26","qNSC1","young"
"33","N28","qNSC1","young"
"34","N_GP_24","qNSC1","young"
"35","N_GP_23B","qNSC1","young"
"36","N_GP_15B","qNSC1","young"
"37","N_GP_5B","qNSC1","young"
"38","N33","qNSC2","young"
"39","N_GP_20","qNSC2","young"
"40","N46","qNSC2","young"
"41","N_GP_46","qNSC2","young"
"42","N_GP_16B","qNSC2","young"
"43","N_GP_28","qNSC2","young"
"44","N_GP_50","qNSC2","young"
"45","N_GP_7B","qNSC2","young"
"46","N_GP_9","qNSC2","young"
"47","N_GP_7","qNSC2","young"
"48","N_GP_45","qNSC2","young"
"49","N_GP_38S","qNSC2","young"
"50","N_GP_25","qNSC2","young"
"51","N_GP_14B","qNSC2","young"
"52","N_GP_2","qNSC2","young"
"53","N_GP_6","qNSC2","young"
"54","N45","qNSC2","young"
"55","N_GP_31B","qNSC2","young"
"56","N11","qNSC2","young"
"57","N_GP_40S","qNSC2","young"
"58","N_GP_19B","qNSC2","young"
"59","N_GP_12","qNSC2","young"
"60","N_GP_3B","qNSC2","young"
"61","N5","aNSC1","young"
"62","N_GP_6B","aNSC1","young"
"63","N18","aNSC1","young"
"64","N_GP_53","aNSC1","young"
"65","N_GP_5","aNSC1","young"
"66","N_GP_16","aNSC1","young"
"67","N_GP_30","aNSC1","young"
"68","N_GP_42","aNSC1","young"
"69","N7","aNSC1","young"
"70","N29","aNSC1","young"
"71","N_GP_18B","aNSC1","young"
"72","N24","aNSC1","young"
"73","N_GP_32B","aNSC1","young"
"74","N_GP_15","aNSC1","young"
"75","N_GP_29B","aNSC1","young"
"76","N_GP_12B","aNSC2","young"
"77","N_GP_8B","aNSC2","young"
"78","N_GP_32","aNSC2","young"
"79","N2","aNSC2","young"
"80","N37","aNSC2","young"
"81","N_GP_18","aNSC2","young"
"82","N_GP_35S","aNSC2","young"
"83","N17","aNSC2","young"
"84","N27","aNSC2","young"
"85","N34","aNSC2","young"
"86","N42","aNSC2","young"
"87","N_GP_1","aNSC2","young"
"88","N_GP_1B","aNSC2","young"
"89","N_GP_10B","aNSC2","young"
"90","N_GP_13B","aNSC2","young"
"91","N_GP_26B","aNSC2","young"
"92","N1","aNSC2","young"
"93","str42","Astro","young"
"94","str40","Astro","young"
"95","str35","Astro","young"
"96","str33","Astro","young"
"97","str27","Astro","young"
"98","ctx8","Astro","young"
"99","ctx7","Astro","young"
"100","ctx6","Astro","young"
"101","ctx5","Astro","young"
"102","ctx3","Astro","young"
"103","ctx23","Astro","young"
"104","ctx22","Astro","young"
"105","ctx21","Astro","young"
"106","ctx20","Astro","young"
"107","ctx2","Astro","young"
"108","ctx19","Astro","young"
"109","ctx18","Astro","young"
"110","ctx17","Astro","young"
"111","ctx16","Astro","young"
"112","ctx12","Astro","young"
"113","ctx11","Astro","young"
"114","ctx1","Astro","young"
