,gene_name,gene_id
0,Xkr4,ENSMUSG00000051951.5
1,Rp1,ENSMUSG00000025900.12
2,Sox17,ENSMUSG00000025902.13
3,Gm37323,ENSMUSG00000104328.1
4,Mrpl15,ENSMUSG00000033845.13
5,Lypla1,ENSMUSG00000025903.14
6,Tcea1,ENSMUSG00000033813.15
7,Rgs20,ENSMUSG00000002459.17
8,Atp6v1h,ENSMUSG00000033793.12
9,Oprk1,ENSMUSG00000025905.14
10,Rb1cc1,ENSMUSG00000025907.14
11,4732440D04Rik,ENSMUSG00000090031.2
12,Alkal1,ENSMUSG00000087247.3
13,St18,ENSMUSG00000033740.17
14,Pcmtd1,ENSMUSG00000051285.17
15,Gm26901,ENSMUSG00000097797.6
16,Sntg1,ENSMUSG00000025909.16
17,Rrs1,ENSMUSG00000061024.8
18,Adhfe1,ENSMUSG00000025911.14
19,2610203C22Rik,ENSMUSG00000079671.8
20,Vxn,ENSMUSG00000067879.3
21,Mybl1,ENSMUSG00000025912.16
22,Vcpip1,ENSMUSG00000045210.8
23,1700034P13Rik,ENSMUSG00000097893.8
24,Sgk3,ENSMUSG00000025915.14
25,Mcmdc2,ENSMUSG00000046101.16
26,Snhg6,ENSMUSG00000098234.7
27,Tcf24,ENSMUSG00000099032.2
28,Ppp1r42,ENSMUSG00000025916.10
29,Cops5,ENSMUSG00000025917.9
30,Cspp1,ENSMUSG00000056763.16
31,Arfgef1,ENSMUSG00000067851.11
32,Cpa6,ENSMUSG00000042501.12
33,Prex2,ENSMUSG00000048960.13
34,A830018L16Rik,ENSMUSG00000057715.13
35,Gm17644,ENSMUSG00000097171.1
36,Sulf1,ENSMUSG00000016918.15
37,Slco5a1,ENSMUSG00000025938.16
38,Prdm14,ENSMUSG00000042414.7
39,Ncoa2,ENSMUSG00000005886.14
40,Gm29570,ENSMUSG00000101476.1
41,Tram1,ENSMUSG00000025935.10
42,Lactb2,ENSMUSG00000025937.6
43,Eya1,ENSMUSG00000025932.14
44,Kcnb2,ENSMUSG00000092083.4
45,Terf1,ENSMUSG00000025925.14
46,Sbspon,ENSMUSG00000032719.4
47,4930444P10Rik,ENSMUSG00000067795.13
48,Rpl7,ENSMUSG00000043716.13
49,Rdh10,ENSMUSG00000025921.7
50,Gm28095,ENSMUSG00000100868.1
51,Stau2,ENSMUSG00000025920.19
52,Ube2w,ENSMUSG00000025939.18
53,Eloc,ENSMUSG00000079658.9
54,D030040B21Rik,ENSMUSG00000097744.1
55,Tmem70,ENSMUSG00000025940.6
56,Ly96,ENSMUSG00000025779.10
57,Jph1,ENSMUSG00000042686.5
58,Gdap1,ENSMUSG00000025777.8
59,Gm28784,ENSMUSG00000099899.1
60,Gm28154,ENSMUSG00000100053.1
61,Gm16070,ENSMUSG00000085125.7
62,Crispld1,ENSMUSG00000025776.13
63,Gm28756,ENSMUSG00000109887.1
64,Tfap2d,ENSMUSG00000042596.7
65,Tfap2b,ENSMUSG00000025927.13
66,Il17f,ENSMUSG00000041872.9
67,Mcm3,ENSMUSG00000041859.10
68,6720483E21Rik,ENSMUSG00000097934.1
69,Paqr8,ENSMUSG00000025931.15
70,Efhc1,ENSMUSG00000041809.5
71,Tram2,ENSMUSG00000041779.5
72,Tmem14a,ENSMUSG00000025933.15
73,Gsta3,ENSMUSG00000025934.15
74,Gm28836,ENSMUSG00000099343.1
75,Kcnq5,ENSMUSG00000028033.16
76,Rims1,ENSMUSG00000041670.16
77,Gm29506,ENSMUSG00000101227.1
78,Gm27028,ENSMUSG00000097970.1
79,Gm29107,ENSMUSG00000100775.1
80,Ogfrl1,ENSMUSG00000026158.11
81,B3gat2,ENSMUSG00000026156.8
82,Smap1,ENSMUSG00000026155.13
83,Sdhaf4,ENSMUSG00000026154.4
84,Fam135a,ENSMUSG00000026153.15
85,Col9a1,ENSMUSG00000026147.16
86,Col19a1,ENSMUSG00000026141.13
87,Lmbrd1,ENSMUSG00000073725.8
88,Gm28237,ENSMUSG00000100483.1
89,Adgrb3,ENSMUSG00000033569.17
90,Gm597,ENSMUSG00000048411.4
91,Gm9898,ENSMUSG00000053185.2
92,Phf3,ENSMUSG00000048874.15
93,Ptp4a1,ENSMUSG00000026064.16
94,Ptp4a1-1,ENSMUSG00000117310.2
95,4931428L18Rik,ENSMUSG00000086727.8
96,Lgsn,ENSMUSG00000050217.13
97,Khdrbs2,ENSMUSG00000026058.11
98,Prim2,ENSMUSG00000026134.11
99,Rab23,ENSMUSG00000004768.14
100,Bag2,ENSMUSG00000042215.8
101,Zfp451,ENSMUSG00000042197.13
