Symbol,Entrez Gene ID,Description
ABCA9,217262,"ATP-binding cassette, sub-family A (ABC1), member 9"
ABCE1,24015,"ATP-binding cassette, sub-family E (OABP), member 1"
ABLIM3,319713,"actin binding LIM protein family, member 3"
ABTB2,99382,ankyrin repeat and BTB (POZ) domain containing 2 
ACSL1,14081,acyl-CoA synthetase long-chain family member 1 
ADAMDEC1,58860,"ADAM-like, decysin 1"
ADAR,56417,"adenosine deaminase, RNA-specific "
ADM,11535,adrenomedullin
AGPAT9,231510,1-acylglycerol-3-phosphate O-acyltransferase 9 
AIM2,383619,absent in melanoma 2
AKT3,23797,v-akt murine thymoma viral oncogene homolog 3 
ALDH1A1,11668,"aldehyde dehydrogenase 1 family, member A1"
ALYREF,21681,Aly/REF export factor
AMPH,218038,amphiphysin 
ANGPTL1,72713,angiopoietin-like 1 
ANKRD22,52024,Ankyrin Repeat Domain 22
APOL2,239552,"apolipoprotein L, 2 "
APOL6,71939,"apolipoprotein L, 6 "
AQP9,64008,"apolipoprotein L, 9"
ARG2,11847,arginase 2 
ARHGEF3,71704,Rho guanine nucleotide exchange factor (GEF) 3
ARNTL,11865,aryl hydrocarbon receptor nuclear translocator-like
ATF2,11909,activating transcription factor 2 
ATF3,11910,activating transcription factor 3 
B2M,12010,beta-2-microglobulin
BAG1,12017,BCL2-associated athanogene
BAK1,12018,BCL2-antagonist/killer 1
BANF1,23825,barrier to autointegration factor 1
BATF2,74481,"basic leucine zipper transcription factor, ATF-like 2 "
BAX,12028,BCL2-associated X protein
BCL2,12043,B cell leukemia/lymphoma 2
BCL2L1,12048,BCL2-like 1
BCL3,12051,B cell leukemia/lymphoma 3
BIRC2,11797,baculoviral IAP repeat-containing 2
BIRC3,11796,baculoviral IAP repeat-containing 3
BLVRA,109778,biliverdin reductase A
BLZF1,66352,basic leucine zipper nuclear factor 1 
BST2,69550,bone marrow stromal cell antigen 2 
BUB1,12235,BUB1 mitotic checkpoint serine/threonine kinase
C10orf10,213393,chromosome 10 open reading frame 10 
C15orf48,433470,chromosome 15 open reading frame 48 
C1S,317677,"complement component 1, s subcomponent"
C22orf28,28088,chromosome 22 open reading frame 28
C4orf32,70617,chromosome 4 open reading frame 32
C4orf33,73852,chromosome 4 open reading frame 33
C9orf91,230279,chromosome 9 open reading frame 91 
CALR,12317,calreticulin
CANX,12330,calnexin
CASP1,12362,caspase 1
CASP7,12369,"caspase 1, apoptosis-related cysteine peptidase "
CCDC75,53951,"caspase 7, apoptosis-related cysteine peptidase"
CCL11,20292,C-C Motif Chemokine Ligand 11
CCL2,20293,C-C Motif Chemokine Ligand 2
CCL22,20299,C-C Motif Chemokine Ligand 22
CCL4,20303,C-C Motif Chemokine Ligand 4
CCL5,20304,C-C Motif Chemokine Ligand 5
CCNA1,12427,cyclin A1 
CCR1,12768,chemokine (C-C motif) receptor 1 
CCR7,12775,chemokine (C-C motif) receptor 7 
CD163,93671,CD163 molecule 
CD274,60533,CD274 molecule 
CD38,12494,CD38 molecule 
CD40,21939,CD40molecule 
CD69,12515,CD69 molecule 
CD74,16149,CD74vmolecule 
CD9,12527,CD9 molecule 
CDK17,237459,cyclin-dependent kinase 17 
CDK18,18557,cyclin-dependent kinase 18 
CDKN1A,12575,"cyclin-dependent kinase inhibitor 1A (p21, Cip1) "
CES1,12623,carboxylesterase 1 
CFB,14962,complement factor B 
CHMP5,76959,charged multivesicular body protein 5
CHUK,12675,conserved helix-loop-helix ubiquitous kinase
CIITA,12265,class II transactivator
CLEC4D,17474,"C-type lectin domain family 4, member D "
CLEC4E,56619,"C-type lectin domain family 4, member E "
CLEC5A,23845,"C-type lectin domain family 5, member a"
CNP,12799,"2',3'-cyclic nucleotide 3' phosphodiesterase "
COMMD3,12238,COMM domain containing 3 
CPT1A,12894,carnitine palmitoyltransferase 1A (liver)
CREB3L3,208677,cAMP responsive element binding protein 3-like 3 
CREBBP,12914,CREB binding protein
CREBZF,233490,CREB/ATF bZIP transcription factor
CRP,12944,C-Reactive Protein
CRY1,12952,cryptochrome circadian clock 1
CSRNP1,215418,cysteine-serine-rich nuclear protein 1
CX3CL1,20312,chemokine (C-X3-C motif) ligand 1
CXCL10,15945,C-X-C Motif Chemokine Ligand 10
CXCL9,17329,C-X-C Motif Chemokine Ligand 9
CXCR4,12767,chemokine (C-X-C motif) receptor 4
CYP1B1,13078,"cytochrome P450, family 1, subfamily B, polypeptide 1 "
CYTH1,19157,cytohesin 1
DCP1A,75901,Decapping MRNA 1A
DDIT4,74747,DNA-damage-inducible transcript 4 
DDX58,230073,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 
DDX60,234311,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
DHX58,80861,DEXH (Asp-Glu-X-His) box polypeptide 58
DTX3L,209200,"deltex 3 like, E3 ubiquitin ligase"
DUOX2,214593,dual oxidase 2
DUSP5,240672,dual specificity phosphatase 5 
DYNLT1,100040531,"dynein, light chain, Tctex-type 1 "
EHD4,98878,EH-domain containing 4 
EIF2AK2,19106,eukaryotic translation initiation factor 2-alpha kinase 2 
EIF3L,223691,"eukaryotic translation initiation factor 3, subunit L "
ELF1,13709,E74-like factor 1 (ets domain transcription factor) 
ENPP1,18605,ectonucleotide pyrophosphatase/phosphodiesterase 1 
EPAS1,13819,endothelial PAS domain protein 1
ERLIN1,226144,ER lipid raft associated 1 
ETV6,14011,ets variant 6 
EXT1,14042,exostosin glycosyltransferase 1 
FADD,14082,Fas (TNFRSF6)-associated via death domain
FAM125B,72543,"family with sequence similarity 125, member B "
FAM134B,66270,"family with sequence similarity 134, member B "
FAM46A,212943,"family with sequence similarity 46, member A"
FAM46C,74645,"family with sequence similarity 46, member C "
FAM70A,245386,"family with sequence similarity 70, member A "
FBXO6,50762,F-box protein 6
FCGR1A,14129,"Fc fragment of IgG, high affinity Ia, receptor (CD64) "
FFAR2,233079,free fatty acid receptor 2
FGR,14191,"FGR proto-oncogene, Src family tyrosine kinase"
FKBP5,14229,FK506 binding protein 5 
FLT1,14254,fms-related tyrosine kinase 1 
FNDC3B,72007,fibronectin type III domain containing 3B
