gene,total_wt1_IFNb,total_wt1,total_wt2_IFNb,total_wt2,total_wt3_IFNb,total_wt3,total_wt4_IFNb,total_wt4
ENSMUSG00000064842,1,0,0,0,0,0,0,1
ENSMUSG00000051951,21,37,23,36,17,6,10,20
ENSMUSG00000102851,0,0,0,0,0,0,0,1
ENSMUSG00000103377,0,0,1,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,1,1,0,0,0,0,1
ENSMUSG00000102348,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,2,4,1,0,1
ENSMUSG00000102948,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0
ENSMUSG00000025902,0,0,0,0,0,0,0,0
ENSMUSG00000104238,0,0,0,0,0,0,0,0
ENSMUSG00000102269,4,1,3,0,2,1,4,0
ENSMUSG00000096126,6,3,8,1,6,10,4,1
ENSMUSG00000103003,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0
ENSMUSG00000098104,87,49,41,20,105,19,69,62
ENSMUSG00000102175,0,0,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0
ENSMUSG00000103922,3,0,0,2,3,0,0,0
ENSMUSG00000033845,637,713,550,385,1057,115,303,469
ENSMUSG00000102275,3,8,2,6,7,0,3,8
ENSMUSG00000025903,128,126,151,110,232,21,99,125
ENSMUSG00000104217,0,0,0,0,0,0,0,0
ENSMUSG00000033813,74,68,70,65,107,13,47,56
ENSMUSG00000062588,0,0,0,0,0,1,0,0
ENSMUSG00000103280,18,10,22,19,31,1,4,19
ENSMUSG00000002459,314,270,272,227,311,76,216,247
ENSMUSG00000091305,1,0,0,0,0,0,0,0
ENSMUSG00000102653,1,5,0,0,4,0,5,6
ENSMUSG00000085623,5,10,4,6,6,5,6,10
ENSMUSG00000091665,0,0,0,0,0,0,0,0
ENSMUSG00000033793,873,680,704,456,929,106,475,479
ENSMUSG00000104352,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0
ENSMUSG00000025907,164,121,183,131,240,20,108,144
ENSMUSG00000090031,12,12,20,10,12,2,9,12
ENSMUSG00000087247,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,0,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0
ENSMUSG00000103845,3,3,1,3,6,0,0,6
ENSMUSG00000033740,0,0,1,0,3,0,2,0
ENSMUSG00000103329,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,1
ENSMUSG00000102135,1,2,2,1,4,0,3,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0
ENSMUSG00000051285,201,134,173,120,225,28,112,136
ENSMUSG00000098201,2,1,0,0,3,0,0,1
ENSMUSG00000103509,27,37,27,22,46,4,16,59
ENSMUSG00000048538,4,3,1,1,1,0,0,1
ENSMUSG00000103709,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0
ENSMUSG00000097797,3,3,7,1,1,1,1,2
ENSMUSG00000103498,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,2,0,0,0,0,4
ENSMUSG00000102320,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0
ENSMUSG00000103903,2,5,2,1,7,1,1,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0
ENSMUSG00000025909,0,0,1,0,0,0,0,1
ENSMUSG00000102647,0,0,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0
