set,mouse_id,age,genotype,date,measure,value,index,weight
2019_Santiago_FACS,10,60.0,IFNAGRKO,NA,svz_tap,3229.5,3,3.716879019653247e-5
2019_Santiago_FACS,11,60.0,IFNAGRKO,NA,svz_tap,2897.5,3,3.716879019653247e-5
2019_Santiago_FACS,12,60.0,IFNAGRKO,NA,svz_tap,2579.0,3,3.716879019653247e-5
2019_Santiago_FACS,13,60.0,IFNAGRKO,NA,svz_tap,1805.0,3,3.716879019653247e-5
2019_Santiago_FACS,14,60.0,IFNAGRKO,NA,svz_tap,2725.0,3,3.716879019653247e-5
2019_Santiago_FACS,15,60.0,IFNAGRKO,NA,svz_tap,2141.0,3,3.716879019653247e-5
2019_Santiago_FACS,16,60.0,IFNAGRKO,NA,svz_tap,2831.0,3,3.716879019653247e-5
2019_Santiago_FACS,17,60.0,IFNAGRKO,NA,svz_tap,2247.0,3,3.716879019653247e-5
2019_Santiago_FACS,21,180.0,IFNAGRKO,NA,svz_tap,1305.0,3,1.8064127653168748e-5
2019_Santiago_FACS,22,180.0,IFNAGRKO,NA,svz_tap,1840.0,3,1.8064127653168748e-5
2019_Santiago_FACS,23,180.0,IFNAGRKO,NA,svz_tap,1040.0,3,1.8064127653168748e-5
2019_Santiago_FACS,24,660.0,IFNAGRKO,NA,svz_tap,631.0,3,0.00015892355776871324
2019_Santiago_FACS,25,660.0,IFNAGRKO,NA,svz_tap,840.0,3,0.00015892355776871324
2019_Santiago_FACS,26,660.0,IFNAGRKO,NA,svz_tap,890.0,3,0.00015892355776871324
